# This is a blacklist of IP addresses. These addresses belong to networks used by russian troll farms and other criminal activities.
# Its format may be changed without notofication.
194.169.175.0/24	#EmanuelHosting GB, 2024-10-17
77.90.185.0/24		#InsideNetwork GB, 2024-10-17
80.94.95.0/24		#UNMANAGED-LTD GB, 2024-10-17
45.151.99.0/24		#InsideNetworkLTD-20240723 GB, 2024-10-17
83.222.190.0/24		#Net_4Media BG, 2024-10-17
216.73.160.0/22		#BANDITO-NETWORKS-US, 2024-10-20
103.114.98.0/24		#ADELONLINE-BD, 2024-10-22
37.128.204.0/22		#LV-VEESP, 2024-10-22
119.160.141.0/24	#eSpeed-BN, 2024-10-22
179.60.149.0/24		#safe-vpn.mobi Nicaragua, 2024-11-11
173.239.192.0/18	# LogicWeb bruteforcer
199.101.196.0/24	# IPXO unlisted in geofeed
64.64.108.0/24		# LOGICWEB - bruteforcer
92.255.57.0/24      # CHANG WAY, HK, ruzzian bruteforcer
92.255.85.0/24      # CHANG WAY, HK, ruzzian bruteforcer
185.7.214.0/24      # CHANG WAY, HK, ruzzian bruteforcer
91.199.45.0/24      # GREEN FLOID LLC, ruzzian casinos and botfarms
45.95.233.0/24      # INETTECH-MNT, fuck this new ruzzian botfarm subnet
82.144.255.170      # test01 SSL-VPN bruteforcer, Link-Connect ADSL GB
194.165.16.0/23     # Flyservers Panama
183.82.0.230        # Bye Indian bruteforcer
195.82.147.8        # russian warship GFY
38.146.27.151       # hello you idiot
87.120.126.0/24     # VSVK NETWORK bruteforce
87.120.127.0/24     # VSVK NETWORK bruteforce
87.121.18.0/24      # Neterra Ltd. bruteforce
92.119.196.0/24     # VSVK NETWORK bruteforce
92.119.197.0/24     # VSVK NETWORK bruteforce
94.156.167.0/24     # VSVK NETWORK bruteforce
94.156.92.0/24      # Neterra Ltd. bruteforce
41.239.93.231/32    # bruteforce freelancer from Egypt?
197.37.167.34/32    # wow, another one IP from Egypt
31.43.191.0/24      # Some fuckers from Ukraine, LIMITED LIABILITY COMPANY E-SOLUTION (E-SOLUTION LLC), giving VPS to russians
92.63.197.0/24      # Some fuckers from	Ukraine, LIMITED LIABILITY COMPANY E-SOLUTION (E-SOLUTION LLC),	giving VPS to russians
185.156.73.0/24     # Some fuckers from	Ukraine, LIMITED LIABILITY COMPANY E-SOLUTION (E-SOLUTION LLC),	giving VPS to russians
185.156.74.0/24     # Some fuckers from	Ukraine, LIMITED LIABILITY COMPANY E-SOLUTION (E-SOLUTION LLC),	giving VPS to russians
185.193.88.0/24     # Some fuckers from	Ukraine, LIMITED LIABILITY COMPANY E-SOLUTION (E-SOLUTION LLC),	giving VPS to russians
41.32.0.0/12	# Telecom Egypt
41.232.0.0/13	# Telecom Egypt
45.85.188.0/24	# Telecom Egypt
81.10.0.0/17	# Telecom Egypt
102.40.0.0/13	# Telecom Egypt
154.176.0.0/12	# Telecom Egypt
156.192.0.0/11	# Telecom Egypt
163.121.128.0/17	 # Telecom Egypt
185.187.178.0/24	 # Telecom Egypt
196.202.0.0/17	 # Telecom Egypt
196.218.0.0/15	 # Telecom Egypt
197.32.0.0/11	 # Telecom Egypt
212.103.160.0/19	 # Telecom Egypt
213.158.160.0/19	 # Telecom Egypt
93.159.11.38		# Unknown from PL
185.53.134.127		# Unknown IPsec from PL
